Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Fall 2022,Closed,NANO*3500*0101 (8786) Thin Film Science,Guelph," Mon, Wed, Fri",11:30AM - 12:20PM,"MCKN, Room 119A", , , , Thur,02:30PM - 05:20PM,"SSC, Room 2110",FALSE,FALSE,FALSE, Thur,07:00PM - 09:00PM (2022/12/08),TBA,J. Dutcher, 0 / 6,0.5,Undergraduate
Fall 2022,Open,NANO*4100*01 (8788) Biological Nanomaterials,Guelph," Tues, Thur",08:30AM - 09:50AM,"MCKN, Room 059", , , , , , ,FALSE,FALSE,FALSE, , , ,V. Ladizhansky, 8 / 15,0.5,Undergraduate
Fall 2022,Open,NANO*4700*01 (8789) Concepts in Quantum Computing,Guelph, Wed,11:30AM - 02:20PM,"ALEX, Room 309", , , , , , ,FALSE,FALSE,FALSE, , , ,D. Kribs, 10 / 15,0.5,Undergraduate
Fall 2022,Open,NANO*4910*01 (8790) Nanoscience Research Project I,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,D. Thomas, 9 / 10,1,Undergraduate
Fall 2022,Open,NANO*4920*01 (8791) Nanoscience Research Proj II,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,D. Thomas, 1 / 1,1,Undergraduate
Fall 2022,Open,NEUR*2000*01 (8792) Foundations in Neuroscience,Guelph," Tues, Thur",01:00PM - 02:20PM,"RICH, Room 2520", , , , , , ,FALSE,FALSE,FALSE, Tues,02:30PM - 04:30PM (2022/12/06),TBA,J. Murray, 65 / 200,0.5,Undergraduate
Fall 2022,Open,NEUR*3100*01 (8793) Molecular Neur Disorders,Guelph," Tues, Thur",01:00PM - 02:20PM,"JTP, Room 2266", , , , , , ,FALSE,FALSE,FALSE, Thur,11:30AM - 01:30PM (2022/12/15),TBA,J. Lalonde, 21 / 100,0.5,Undergraduate
Fall 2022,Closed,NEUR*4000*01 (8794) Current Issues in Neuroscience,Guelph," Tues, Thur",02:30PM - 03:50PM,"MCKN, Room 031", , , , , , ,FALSE,FALSE,FALSE, , , ,E. Choleris, 0 / 75,0.5,Undergraduate
Fall 2022,Closed,NEUR*4100*01 (8795) Neuropharmacology,Guelph," Tues, Thur",10:00AM - 11:20AM,"MCKN, Room 116", , , , , , ,FALSE,FALSE,FALSE, Mon,08:30AM - 10:30AM (2022/12/12),TBA,C. Bailey, 0 / 75,0.5,Undergraduate
Fall 2022,Open,NEUR*4401*01 (8796) Research in Neurosciences,Guelph, , , , , , ,TBA,TBA,TBA,FALSE,FALSE,FALSE, , , ,C. Bailey, 4 / 15,0.5,Undergraduate
