Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Winter 2023,Open,ENGG*4510*0103 (2174) Assessment & Mngt of Risk,Guelph,"Mon, Wed, Fri",04:30PM - 05:20PM,"MCLN, Room 102", , , ,Wed,10:30AM - 11:20AM,"MCKN, Room 232",FALSE,FALSE,FALSE, , , ,C. Farrow, 8 / 8,0.5,Undergraduate
Winter 2023,Open,ENGG*4540*0101 (2175) Advanced Computer Architecture,Guelph,"Mon, Wed",08:30AM - 09:50AM,"MCKN, Room 306", , , ,Thur,02:30PM - 04:20PM,"RICH, Room 2531",FALSE,FALSE,FALSE, , , ,A. Hussein, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGG*4540*0102 (2176) Advanced Computer Architecture,Guelph,"Mon, Wed",08:30AM - 09:50AM,"MCKN, Room 306", , , ,Tues,11:30AM - 01:20PM,"RICH, Room 2531",FALSE,FALSE,FALSE, , , ,A. Hussein, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGG*4550*0101 (2177) VLSI Digital Design,Guelph,"Mon, Wed",01:00PM - 02:20PM,"MCLN, Room 101", , , ,Wed,03:30PM - 05:20PM,"RICH, Room 2531",FALSE,FALSE,FALSE, , , ,A. Hussein, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGG*4550*0102 (2178) VLSI Digital Design,Guelph,"Mon, Wed",01:00PM - 02:20PM,"MCKN, Room 101", , , ,Thur,12:30PM - 02:20PM,"RICH, Room 2531",FALSE,FALSE,FALSE, , , ,A. Hussein, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGG*4560*0101 (2179) Embedded System Design,Guelph,"Tues, Thur",10:00AM - 11:20AM,"MCKN, Room 318", , , ,Fri,02:30PM - 05:20PM,"RICH, Room 1532",FALSE,FALSE,FALSE, , , ,R. Muresan, 20 / 20,0.75,Undergraduate
Winter 2023,Open,ENGG*4580*0101 (2180) Sustainable Energy Sys. Design,Guelph,"Wed, Fri",10:00AM - 11:20AM,"MACS, Room 129", , , ,Tues,11:30AM - 02:20PM,"THRN, Room 3404",FALSE,FALSE,FALSE, , , ,J. Saha, 14 / 14,0.75,Undergraduate
Winter 2023,Open,ENGG*4660*0101 (2182) Medical Image Processing,Guelph,"Tues, Thur",04:00PM - 05:20PM,"ANNU, Room 002", , , ,Wed,11:30AM - 01:20PM,"THRN, Room 2336",FALSE,FALSE,FALSE, , , ,R. Dony, 20 / 20,0.5,Undergraduate
Winter 2023,Open,ENGG*4760*0101 (2183) Biological Wastewater Design,Guelph,"Tues, Thur",08:30AM - 09:50AM,"ANNU, Room 204", , , ,Fri,09:30AM - 11:20AM,"THRN, Room 1116",FALSE,FALSE,FALSE, , , ,H. Zhou, 18 / 18,0.5,Undergraduate
Winter 2023,Open,ENGG*4760*0102 (2184) Biological Wastewater Design,Guelph,"Tues, Thur",08:30AM - 09:50AM,"ANNU, Room 204", , , ,Wed,01:30PM - 03:20PM,"THRN, Room 1116",FALSE,FALSE,FALSE, , , ,H. Zhou, 18 / 18,0.5,Undergraduate
Winter 2023,Open,ENGG*4820*0101 (2185) Atmospheric Emission Control,Guelph,"Tues, Thur",04:00PM - 05:20PM,"ROZH, Room 105", , , ,Thur,01:30PM - 03:20PM,"THRN, Room 2336",FALSE,FALSE,FALSE, , , ,R. Santos, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGG*4820*0102 (2186) Atmospheric Emission Control,Guelph,"Tues, Thur",04:00PM - 05:20PM,"ROZH, Room 105", , , ,Fri,02:30PM - 04:20PM,"THRN, Room 2336",FALSE,FALSE,FALSE, , , ,R. Santos, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGG*4820*0103 (2187) Atmospheric Emission Control,Guelph,"Tues, Thur",04:00PM - 05:20PM,"ROZH, Room 105", , , ,Mon,02:30PM - 04:20PM,"THRN, Room 2336",FALSE,FALSE,FALSE, , , ,R. Santos, 14 / 14,0.5,Undergraduate
Winter 2023,Open,ENGL*1030*DE01 (2236) Effective Writing,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,TBA, 200 / 200,0.5,Undergraduate
Winter 2023,Open,ENGL*1080*0101 (2237) Foundations in Critical Readin,Guelph,"Mon, Wed",10:30AM - 11:20AM,"THRN, Room 1307",Fri,10:30AM - 11:20AM,"MACN, Room 201", , , ,FALSE,FALSE,FALSE, , , ,M. Elleray, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*1080*0102 (2238) Foundations in Critical Readin,Guelph,"Mon, Wed",10:30AM - 11:20AM,"THRN, Room 1307",Fri,10:30AM - 11:20AM,"ANNU, Room 306", , , ,FALSE,FALSE,FALSE, , , ,M. Elleray, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*1080*0103 (2239) Foundations in Critical Readin,Guelph,"Mon, Wed",10:30AM - 11:20AM,"THRN, Room 1307",Fri,10:30AM - 11:20AM,"MINS, Room 128", , , ,FALSE,FALSE,FALSE, , , ,M. Elleray, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*1080*0104 (2240) Foundations in Critical Readin,Guelph,"Mon, Wed",10:30AM - 11:20AM,"THRN, Room 1307",Fri,10:30AM - 11:20AM,"MINS, Room 101", , , ,FALSE,FALSE,FALSE, , , ,M. Elleray, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*1500*01 (2241) Medicine & Literature,Guelph,"Tues, Thur",11:30AM - 12:50PM,"LA, Room 204", , , , , , ,FALSE,FALSE,FALSE, , , ,S. Singer, 120 / 120,0.5,Undergraduate
Winter 2023,Open,ENGL*2080*0101 (2242) Finding a Critical Voice,Guelph,"Mon, Wed",11:30AM - 12:20PM,"MACS, Room 209",Fri,11:30AM - 12:20PM,"MACN, Room 202", , , ,FALSE,FALSE,FALSE, , , ,TBA, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2080*0102 (2243) Finding a Critical Voice,Guelph,"Mon, Wed",11:30AM - 12:20PM,"MACS, Room 209",Fri,11:30AM - 12:20PM,"MACN, Room 201", , , ,FALSE,FALSE,FALSE, , , ,TBA, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2080*0103 (2244) Finding a Critical Voice,Guelph,"Mon, Wed",11:30AM - 12:20PM,"MACS, Room 209",Fri,11:30AM - 12:20PM,"ANNU, Room 306", , , ,FALSE,FALSE,FALSE, , , ,TBA, 25 / 25,0.5,Undergraduate
